,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,LAR,Jared Goff\GoffJa00,QB,21,2018,0,1,2,13,13,33,666,1063,8440,59,20,71,155,3,0,0,0,,,,California,College Stats
1,2,PHI,Carson Wentz\WentCa00,QB,23,2018,0,1,3,24,24,37,854,1349,9382,64,27,134,551,2,2,11,0,,,,North Dakota St.,College Stats
1,3,SDG,Joey Bosa\BosaJo00,DE,21,2018,0,1,2,19,19,29,0,0,0,0,0,0,0,0,0,0,0,84,,23.0,Ohio St.,College Stats
1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2018,1,1,3,25,25,35,0,0,0,0,0,755,3567,27,100,973,5,,,,Ohio St.,College Stats
1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2018,1,1,3,22,22,42,0,0,0,0,0,0,0,0,0,0,0,143,9,,Florida St.,College Stats
1,6,BAL,Ronnie Stanley\StanRo00,T,22,2018,0,0,3,14,14,36,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2018,0,0,3,14,14,41,0,0,0,0,0,0,0,0,0,0,0,108,,15.0,Oregon,College Stats
1,8,TEN,Jack Conklin\ConkJa00,T,22,2018,1,0,3,22,22,38,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,College Stats
1,9,CHI,Leonard Floyd\FloyLe00,OLB,23,2018,0,0,3,12,12,32,0,0,0,0,0,0,0,0,0,0,0,68,1,12.5,Georgia,College Stats
1,10,NYG,Eli Apple\ApplEl00,CB,21,2018,0,0,1,7,7,34,0,0,0,0,0,0,0,0,0,0,0,120,2,,Ohio St.,College Stats
1,11,TAM,Vernon Hargreaves\HargVe00,CB,21,2018,0,0,1,8,8,26,0,0,0,0,0,0,0,0,0,0,0,111,1,,Florida,College Stats
1,12,NOR,Sheldon Rankins\RankSh00,DT,22,2018,0,0,2,8,8,35,0,0,0,0,0,0,0,0,0,0,0,48,1,12.0,Louisville,College Stats
1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2018,0,0,3,12,12,38,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats
1,14,OAK,Karl Joseph\JoseKa00,S,22,2018,0,0,2,9,9,34,0,0,0,0,0,0,0,0,0,0,0,111,3,1.0,West Virginia,College Stats
1,15,CLE,Corey Coleman\ColeCo00,WR,22,2018,0,0,2,5,5,21,0,0,0,0,0,2,10,0,58,738,5,,,,Baylor,College Stats
1,16,DET,Taylor Decker\DeckTa00,T,23,2018,0,0,3,14,14,34,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
1,17,ATL,Keanu Neal\NealKe01,S,21,2018,0,1,2,12,12,31,0,0,0,0,0,0,0,0,0,0,0,154,1,,Florida,College Stats
1,18,IND,Ryan Kelly\KellRy00,C,23,2018,0,0,2,12,12,33,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama,College Stats
1,19,BUF,Shaq Lawson\LawsSh00,DE,22,2018,0,0,1,5,5,29,0,0,0,0,0,0,0,0,0,0,0,38,,8.0,Clemson,College Stats
1,20,NYJ,Darron Lee\LeexDa00,OLB,21,2018,0,0,3,12,12,38,0,0,0,0,0,0,0,0,0,0,0,145,3,4.0,Ohio St.,College Stats
1,21,HOU,Will Fuller\FullWi01,WR,22,2018,0,0,3,9,9,31,0,0,0,0,0,3,6,0,107,1561,13,,,,Notre Dame,College Stats
1,22,WAS,Josh Doctson\DoctJo00,WR,23,2018,0,0,2,5,5,27,0,0,0,0,0,1,-14,0,63,836,8,,,,TCU,College Stats
1,23,MIN,Laquon Treadwell\TreaLa00,WR,21,2018,0,0,1,2,2,35,0,0,0,0,0,0,0,0,49,475,1,,,,Mississippi,College Stats
1,24,CIN,William Jackson\JackWi02,CB,23,2018,0,0,1,3,3,25,0,0,0,0,0,0,0,0,0,0,0,41,1,1.0,Houston,College Stats
1,25,PIT,Artie Burns\BurnAr00,CB,21,2018,0,0,2,11,11,42,0,0,0,0,0,0,0,0,0,0,0,113,4,,Miami (FL),College Stats
1,26,DEN,Paxton Lynch\LyncPa00,QB,22,2017,0,0,0,2,2,5,79,128,792,4,4,16,55,0,0,0,0,,,,Memphis,College Stats
1,27,GNB,Kenny Clark\ClarKe01,DT,20,2018,0,0,2,10,10,41,0,0,0,0,0,0,0,0,0,0,0,75,,9.5,UCLA,College Stats
1,28,SFO,Joshua Garnett\GarnJo00,G,22,2018,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
